tweet,negative,neutral,positive,compound
I hug my dogs! One day I would Love with all my heart to hug my twin sister for the first time after so many years of not being able to! ğŸ˜­ğŸ™ğŸ¼ğŸ‘©ğŸ»â€ğŸ¤â€ğŸ‘©ğŸ¼ğŸ’•ğŸ¤ŸğŸ¼ https://t.co/mWUOYmmVW9,0.268,0.689,0.043,0.9544
"@paytheslacker @FeatherInAStorm @yburyug You all are awesome humans. Please reiterate to the kind person taking Peaches in to please keep his dog separated. Working with rescue, shelter dogs have been thru so much trauma it takes a lot of patience, love and training and even then, may not work out with another pet.",0.285,0.67,0.045,0.9479
@jennifers1968 @AZDem_w_Dogs @DrGJackBrown I walked right into that didn't I ğŸ¤£ğŸ¤£ğŸ¤£,0.304,0.696,0.0,0.8625
"Iâ€™VE ALWAYS SAID CRAKKAS ARE HEARTLESS TO THEIR FELLOW HUMANS, BUT WHEN IT COMES TO DOGS AND PET RATS THEY TURN INTO THE MOST CARING AND BENEVOLENT PEOPLE YOU WILL EVER SEE. FUCK EM https://t.co/5QNq685zhe",0.269,0.576,0.155,0.8465
"@TheWordOfErynn @ShayCormac_1 Beautiful. Hereâ€™s our oldest boo, heâ€™s 21 years old now. Heck, even our baby turned 9 this year. We love our senior dogs. https://t.co/cDneVNOWaP",0.252,0.748,0.0,0.8442
@Wolfie_Rankin She's definitely a handful. But dogs do love poo. ğŸ¶ğŸ’©ğŸ¤®,0.338,0.662,0.0,0.8248
@Victoria59L Manhunt...our subdivision bordered on  fields and forest. It was like hide and go seek on a large scale. We used dogs and everything. It was awesome!,0.211,0.736,0.052,0.7345
@Ali_MuhammadPTI you sure are a lionâ€¦ Stood fiercely in kennel of dogsâ€¦. All aloneâ€¦ Still the bravest. We all â¤ï¸ u and #WeStandWithImranKhan,0.203,0.797,0.0,0.6808
@GameOverGreggy The healing takes a bit of time-  say goodbye friend and god speed to the bridge- all dogs play there together. :(,0.26,0.642,0.098,0.5859
"""The leaves had just begun to turn in New Hampshire as we explored the Albany Covered Bridge and the Lower Fall on the Kancamangus for this cozy LGBTQ engagement session."" https://t.co/elQG9BV44Z

#lgbtq #newhampshire #lgbt #engagement #dogs https://t.co/cnZw5kAu99",0.142,0.806,0.052,0.5859
@_Lady_Crypto_ Dogs get big pretty quick!! #SHIB https://t.co/KXfnEUWMRf,0.351,0.649,0.0,0.5837
Dog Lovers - My latest story - https://t.co/WVjOXASRWw,0.327,0.673,0.0,0.5267
"@AkumaYV abi koskoca doktorsun buraya destan yazacaÄŸÄ±na google'a maymunca ""chicken bones safe dog?"" yazamadÄ±n mÄ±? GerÃ§ekten insan Ã§ok basit. elin deÄŸmiÅŸken malnutrition dogs da yazÄ±ver.",0.12,0.88,0.0,0.504
@lacroicsz I fed my dogs a raw diet more than 20 years ago. It can really help.  Nothing better for teeth than raw meaty bones.,0.104,0.802,0.093,0.0832
@FloAlpeFairy @jeromej65 @AmbRusFrance @mfa_russia @francediplo after traveling ï¼Œi noticed how the US media brainwashed Europeans.what I feel sorry for you is Europeans treat the US as friendï¼Œbut the US treat you like dogs and tools.  US got benefited from the war such as weapons selling and fianceï¼Œbut  US and UK Refuse to accept refugees,0.157,0.689,0.154,0.0516
Ubisoft poderia fazer uma continuaÃ§Ã£o Digna do Watch dogs 1 com o Aiden Pearce pq o do watch dogs legion tÃ¡ triste,0.0,1.0,0.0,0.0
@puppchris thereâ€™s a point since wolfs and dogs are both the same,0.0,1.0,0.0,0.0
"@the_shoe_yes Hot dogs gotta be gay, right?",0.0,1.0,0.0,0.0
"Ubisoft Halts Watch Dogs: Legion Updates
https://t.co/roLfZNNjNo",0.0,1.0,0.0,0.0
"Po, Watch Dogs Ã© muito difÃ­cil, eu fiquei confuso com as 450 informaÃ§Ãµes na tela.",0.0,1.0,0.0,0.0
I miss my dogs fr,0.0,0.714,0.286,-0.1531
"@AntonioJSMarti1 Eu sou completamente apaixonada pelo Richie Kotzen, ele faz uma som maravilhoso tanto no Winery Dogs como  na Carreira Solo.",0.0,0.901,0.099,-0.296
@buenafuehunnid iâ€™m sorry i just canâ€™t eat hot dogs they make me nauseous ğŸ˜,0.0,0.747,0.253,-0.5267
Releasing the dogs from their shoe prisons after a long ass day ğŸ˜®â€ğŸ’¨,0.0,0.829,0.171,-0.5423
"Thats what this beggar dog does, these fucking dogs are making shit up and broadcasting it daily.",0.0,0.816,0.184,-0.5574
Damn not the dogs too ğŸ˜­ https://t.co/lFvlpb1UNb,0.0,0.547,0.453,-0.7003
"@trappolasgf UM I DONT HAVE DOGS I HAVE BIRDS
IF I BARKED AT THEM THEY WOULD FREAK OUT AND DIE",0.0,0.685,0.315,-0.8506
The dogs too ğŸ˜¢ğŸ˜¢ğŸ˜¢ https://t.co/Byiple4q9g,0.0,0.429,0.571,-0.8519
"..off the Victorian people with the LOWEST $ rate per head in the nation. No funding for LGBTIQ+. No CALD, a vague ref toâ€regional planningâ€ This Agreemt is a DOGS BREAKFAST &amp; sadly people, we are the dogs. Iâ€™m spent, Morrison @ Govt H, lets vote #AusPol2022",0.0,0.779,0.221,-0.873
this massive ass dog bit my dogs back and sheâ€™s bleeding now wtf :(,0.0,0.519,0.481,-0.8807
